geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
14000US06037117407,"Census Tract 1174.07, Los Angeles, CA",274,122,186,96,43,32,15,23,4,7,20,31,6,9
14000US06037117408,"Census Tract 1174.08, Los Angeles, CA",386,98,255,77,65,40,44,27,10,12,12,20,0,12
14000US06037117510,"Census Tract 1175.10, Los Angeles, CA",542,205,390,156,90,68,29,34,17,28,0,12,16,27
14000US06037117520,"Census Tract 1175.20, Los Angeles, CA",509,163,426,143,21,22,57,42,5,7,0,12,0,12
14000US06037117530,"Census Tract 1175.30, Los Angeles, CA",1070,280,835,262,111,67,43,42,21,32,23,35,37,37
14000US06037119001,"Census Tract 1190.01, Los Angeles, CA",1029,207,854,187,87,45,23,33,4,10,24,25,37,33
14000US06037119002,"Census Tract 1190.02, Los Angeles, CA",2443,392,1828,386,337,139,17,17,2,5,162,106,97,61
14000US06037119201,"Census Tract 1192.01, Los Angeles, CA",1303,282,1015,227,175,124,57,38,0,12,21,23,35,40
14000US06037119202,"Census Tract 1192.02, Los Angeles, CA",1012,348,811,277,153,110,0,12,32,48,16,23,0,12
14000US06037119310,"Census Tract 1193.10, Los Angeles, CA",973,213,702,180,114,73,109,67,42,38,6,12,0,12
14000US06037119320,"Census Tract 1193.20, Los Angeles, CA",522,182,401,163,32,27,40,39,0,12,42,50,7,12
14000US06037119340,"Census Tract 1193.40, Los Angeles, CA",711,171,467,121,81,59,122,64,24,27,9,14,8,14
14000US06037119341,"Census Tract 1193.41, Los Angeles, CA",478,112,382,98,40,30,29,34,5,7,11,15,11,17
14000US06037119342,"Census Tract 1193.42, Los Angeles, CA",541,127,381,107,24,24,98,55,9,10,0,12,29,23
14000US06037119400,"Census Tract 1194, Los Angeles, CA",1410,357,1094,300,174,116,110,93,3,7,29,33,0,17
14000US06037119700,"Census Tract 1197, Los Angeles, CA",1419,248,1074,234,177,163,95,131,27,35,0,17,46,47
14000US06037119800,"Census Tract 1198, Los Angeles, CA",1738,377,1421,326,174,89,67,52,23,38,34,50,19,22
14000US06037119900,"Census Tract 1199, Los Angeles, CA",906,240,710,225,72,47,55,56,31,35,15,25,23,26
14000US06037120010,"Census Tract 1200.10, Los Angeles, CA",480,113,386,116,38,29,35,28,9,12,0,12,12,17
14000US06037120020,"Census Tract 1200.20, Los Angeles, CA",453,176,260,131,41,62,74,63,78,57,0,12,0,12
14000US06037120030,"Census Tract 1200.30, Los Angeles, CA",416,134,208,90,67,40,84,42,28,24,12,19,17,18
14000US06037120103,"Census Tract 1201.03, Los Angeles, CA",417,101,260,89,32,25,94,54,11,18,0,12,20,22
14000US06037120104,"Census Tract 1201.04, Los Angeles, CA",359,94,242,78,20,22,65,57,19,22,0,12,13,16
14000US06037120105,"Census Tract 1201.05, Los Angeles, CA",340,104,242,72,57,54,13,19,0,12,14,17,14,19
14000US06037120106,"Census Tract 1201.06, Los Angeles, CA",732,251,447,182,180,120,57,56,30,34,6,9,12,23
14000US06037120107,"Census Tract 1201.07, Los Angeles, CA",558,140,356,114,99,57,73,50,18,29,12,19,0,12
14000US06037120108,"Census Tract 1201.08, Los Angeles, CA",937,215,646,190,150,66,69,51,20,32,15,25,37,29
14000US06037120300,"Census Tract 1203, Los Angeles, CA",754,253,578,198,88,64,52,65,20,33,0,17,16,21
14000US06037120400,"Census Tract 1204, Los Angeles, CA",1292,344,1134,338,41,55,33,38,0,17,19,33,65,91
14000US06037121010,"Census Tract 1210.10, Los Angeles, CA",903,208,812,214,54,66,24,27,6,10,7,11,0,12
14000US06037121020,"Census Tract 1210.20, Los Angeles, CA",1039,202,761,178,74,51,59,66,0,12,83,61,62,60
14000US06037121101,"Census Tract 1211.01, Los Angeles, CA",922,176,673,138,122,62,38,33,43,47,0,12,46,34
14000US06037121102,"Census Tract 1211.02, Los Angeles, CA",1065,169,678,140,180,89,69,56,15,15,7,10,116,65
14000US06037121210,"Census Tract 1212.10, Los Angeles, CA",568,166,447,142,43,34,41,34,0,12,22,25,15,17
14000US06037121221,"Census Tract 1212.21, Los Angeles, CA",868,209,612,159,221,91,26,24,0,12,0,12,9,13
14000US06037121222,"Census Tract 1212.22, Los Angeles, CA",1492,289,953,249,239,116,232,114,0,17,0,17,68,79
14000US06037121600,"Census Tract 1216, Los Angeles, CA",752,177,638,161,69,42,19,22,0,12,4,6,22,24
14000US06037121801,"Census Tract 1218.01, Los Angeles, CA",625,170,428,114,125,105,53,42,19,32,0,12,0,12
14000US06037121802,"Census Tract 1218.02, Los Angeles, CA",687,135,525,106,91,48,45,36,0,12,0,12,26,24
14000US06037121900,"Census Tract 1219, Los Angeles, CA",1142,244,937,208,93,82,64,54,34,52,0,12,14,27
14000US06037122000,"Census Tract 1220, Los Angeles, CA",1864,379,1619,413,91,62,35,46,21,31,49,41,49,45
14000US06037122120,"Census Tract 1221.20, Los Angeles, CA",1215,299,1021,254,134,102,16,31,0,12,23,40,21,25
14000US06037122121,"Census Tract 1221.21, Los Angeles, CA",861,181,662,162,77,51,81,55,9,12,2,7,30,26
14000US06037122122,"Census Tract 1221.22, Los Angeles, CA",588,133,395,122,86,42,80,44,18,18,0,12,9,14
14000US06037122200,"Census Tract 1222, Los Angeles, CA",1260,200,964,178,172,71,64,53,34,30,4,7,22,28
14000US06037122410,"Census Tract 1224.10, Los Angeles, CA",844,200,616,167,127,85,34,40,18,28,12,20,37,53
14000US06037122420,"Census Tract 1224.20, Los Angeles, CA",1062,243,858,203,106,103,81,54,9,15,0,12,8,12
14000US06037123010,"Census Tract 1230.10, Los Angeles, CA",1287,205,777,181,210,90,163,102,64,46,45,33,28,28
14000US06037123020,"Census Tract 1230.20, Los Angeles, CA",993,189,757,161,123,63,38,39,7,12,4,12,64,58
14000US06037123103,"Census Tract 1231.03, Los Angeles, CA",1220,214,996,221,28,27,129,92,0,12,25,33,42,42
14000US06037123104,"Census Tract 1231.04, Los Angeles, CA",1333,285,1113,245,77,56,10,16,4,10,9,14,120,77
14000US06037123203,"Census Tract 1232.03, Los Angeles, CA",815,212,678,200,32,34,67,54,0,12,19,32,19,33
14000US06037123204,"Census Tract 1232.04, Los Angeles, CA",612,121,444,100,53,30,26,24,30,26,21,16,38,28
14000US06037123205,"Census Tract 1232.05, Los Angeles, CA",800,134,577,135,103,58,52,49,14,18,21,25,33,27
