Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010
"06037540901","14000US06037540901","Census Tract 5409.01","Census Tract 5409.01, Los Angeles County, California","ca","140","00","ACSSF","0005536",,,,,"06","037",,,,"540901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39141,38828,29286,,,,76354,,66364,
"06037540902","14000US06037540902","Census Tract 5409.02","Census Tract 5409.02, Los Angeles County, California","ca","140","00","ACSSF","0005537",,,,,"06","037",,,,"540902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51929,59148,55238,,,,51389,36442,57841,
"06037541001","14000US06037541001","Census Tract 5410.01","Census Tract 5410.01, Los Angeles County, California","ca","140","00","ACSSF","0005538",,,,,"06","037",,,,"541001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53056,39861,55625,,,,,,56250,38472
"06037541002","14000US06037541002","Census Tract 5410.02","Census Tract 5410.02, Los Angeles County, California","ca","140","00","ACSSF","0005539",,,,,"06","037",,,,"541002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55375,52593,90307,,,,48147,,53234,41324
"06037541100","14000US06037541100","Census Tract 5411","Census Tract 5411, Los Angeles County, California","ca","140","00","ACSSF","0005540",,,,,"06","037",,,,"541100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51487,51875,47232,,72813,,78611,,52500,73158
"06037541200","14000US06037541200","Census Tract 5412","Census Tract 5412, Los Angeles County, California","ca","140","00","ACSSF","0005541",,,,,"06","037",,,,"541200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67383,95893,57292,,,,88520,,89306,
"06037541300","14000US06037541300","Census Tract 5413","Census Tract 5413, Los Angeles County, California","ca","140","00","ACSSF","0005542",,,,,"06","037",,,,"541300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48034,51354,28004,,,,63208,49500,61114,
"06037541400","14000US06037541400","Census Tract 5414","Census Tract 5414, Los Angeles County, California","ca","140","00","ACSSF","0005543",,,,,"06","037",,,,"541400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44661,48750,28555,,,,63949,,54034,
"06037541500","14000US06037541500","Census Tract 5415","Census Tract 5415, Los Angeles County, California","ca","140","00","ACSSF","0005544",,,,,"06","037",,,,"541500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49514,56346,,,,,45221,,51154,
"06037541603","14000US06037541603","Census Tract 5416.03","Census Tract 5416.03, Los Angeles County, California","ca","140","00","ACSSF","0005545",,,,,"06","037",,,,"541603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35086,36103,23571,,,,45357,,36724,
"06037541604","14000US06037541604","Census Tract 5416.04","Census Tract 5416.04, Los Angeles County, California","ca","140","00","ACSSF","0005546",,,,,"06","037",,,,"541604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40030,44464,26250,,,,41250,88889,41860,95739
"06037541605","14000US06037541605","Census Tract 5416.05","Census Tract 5416.05, Los Angeles County, California","ca","140","00","ACSSF","0005547",,,,,"06","037",,,,"541605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52037,53016,,,,,51803,,52554,
"06037541606","14000US06037541606","Census Tract 5416.06","Census Tract 5416.06, Los Angeles County, California","ca","140","00","ACSSF","0005548",,,,,"06","037",,,,"541606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39783,45938,22292,,,,37454,,44211,67813
"06037541700","14000US06037541700","Census Tract 5417","Census Tract 5417, Los Angeles County, California","ca","140","00","ACSSF","0005549",,,,,"06","037",,,,"541700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65845,66636,67768,28977,,,63320,71250,65583,
"06037541801","14000US06037541801","Census Tract 5418.01","Census Tract 5418.01, Los Angeles County, California","ca","140","00","ACSSF","0005550",,,,,"06","037",,,,"541801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47768,50337,42288,,,,49722,,50392,
"06037541802","14000US06037541802","Census Tract 5418.02","Census Tract 5418.02, Los Angeles County, California","ca","140","00","ACSSF","0005551",,,,,"06","037",,,,"541802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52880,46614,90556,,,,49543,,47957,
"06037542000","14000US06037542000","Census Tract 5420","Census Tract 5420, Los Angeles County, California","ca","140","00","ACSSF","0005552",,,,,"06","037",,,,"542000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49524,53477,44315,,,,42318,,49912,
